category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Other,,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,5950b09d-bd3b-43cd-8f1d-a29590bd43ed
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Teen,Other,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,5eeff88e-7054-4d00-9f67-3fa58ec8e60b
Picker,Choose difficult age,,,Which child do you want tips for?,Teen,Other,,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,2ae8d71a-0b80-45f4-bacc-687cf2fd53c1
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,6c693f8d-afd4-4fd1-a2d1-f689851f8f07
Picker,Choose difficult age,,,Which child do you want tips for?,Young child,Other,,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,ed5cc7d0-d4da-46d7-a3db-478589ef75e1
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,ac601d90-cf51-4fd9-b3a0-fa60fa5de484
Picker,Choose difficult age,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,062d8802-d8da-4695-bd0c-20da4eb794ea
Picker,Choose difficult age,,,Which child do you want tips for?,Young child,Teen,Other,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,584c326e-60c0-4b05-a194-82796184e84b
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,53d7524a-ddd2-4d80-a6bc-98dd119725e7
Picker,Choose difficult age,,,Which child do you want tips for?,Baby,Young child,Other,,,,,,,,PLH - Picker - Choose difficult age,08a07538-ab2a-49ae-883c-f98b2a2862d0,5f111dd2-c74e-4baa-82bd-f245c273433c
