category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Emotions,Have you noticed and shared emotions with your child or teen recently? How did it make you feel?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,3c37c3b3-a437-488a-b09a-334f94e64ba5
Content,Positive,CheckIn,Emotions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,1f7cc019-f127-4b3e-916f-3a33a98a737d
Content,Positive,CheckIn,Emotions,"Amazing to hear it made you feel good, keep up the great work. Your child is learning so much from you!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,ac216687-c13c-40e9-a913-cadb9bfe8b22
Content,Positive,CheckIn,Emotions,"Noticing and sharing emotions can be difficult at first, but you and your child or teen will get used to it. Keep trying and you will see the positive change!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,a43c5f21-9e61-4c2b-9858-3ac2cf8f08b2
Content,Positive,CheckIn,Emotions,What was difficult for you about sharing emotions with your child or teen?,I am afraid my child or teen will think I am weak,I felt uncomfortable to name specific difficult emotions,My child or teen felt uncomfortable when I shared my emotions,"My child or teen asked many questions when I shared my emotions, which made me uncomfortable",I was too stressed or angry to try sharing my emotions – I prefer to be alone when I feel like that,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,0f416c25-e1f7-4888-ab0c-178d5696c037
Content,Positive,CheckIn,Emotions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,2e88416f-5650-4e60-aa36-e4bdd886a7b4
Content,Positive,CheckIn,Emotions,"Sharing emotions – especially the difficult ones – sets an important example for your child or teen! It actually makes everyone in the family stronger, because you can understand and support each other better. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,01f2b23f-312f-491a-806d-bc9cc5ebee8d
Content,Positive,CheckIn,Emotions,"Starting a new thing is always difficult at first. Give yourselves some time to get used to it, and keep giving the good example by noticing and sharing emotions. Over time, your child or teen will learn to do the same – and they will feel even more loved and cared for.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,0b6ae371-b94f-4bfb-a270-067cb39058a2
Content,Positive,CheckIn,Emotions,"Sharing emotions is about explaining how you are feeling so your child or teen is aware and learns to do the same. You can choose how much detail you want to share about the situation. It’s up to you! You can also choose to answer questions later: “I am feeling angry/stressed now, can you please give me some time? We can talk about this more tonight”.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,0eec2d18-b2c6-491d-9b3c-15fd09ea8ae7
Content,Positive,CheckIn,Emotions,It’s okay to not want to share at that time. Find some time later on when you feel calmer to explain so that everyone can understand.  ,,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,c1f31130-cebb-462d-b399-6606d0ce72ac
Content,Positive,CheckIn,Emotions,"Being specific is not rude or insensitive, it really helps others understand you clearly and prevents confusion in the family. Emotions like anger and stress are part of our lives. All we need to do when we feel angry and stressed is know how to handle it by taking a few deep breaths before responding. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Emotions,2d830f0f-93ad-4f1d-bf13-872df049356d,974daae2-3f49-4689-9767-bf30298786cb
