category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Relax,CheckIn,Loving Kindness,Hi! How are you feeling?,Great,Okay,Bad,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,b181d880-ad26-4d96-a669-0fa5483a6ed9
Content,Relax,CheckIn,Loving Kindness,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,548aef7c-b4b9-4002-872d-280099139510
Content,Relax,CheckIn,Loving Kindness,Sorry to hear that you are not having a good day. It is completely normal to be going through a difficult time now. Remember that you are not alone.,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,a20e38ea-514d-49b0-9610-319beb6c1133
Content,Relax,CheckIn,Loving Kindness,So good to hear that you are doing well. What a wonderful feeling!,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,fd270960-44a5-4a0b-a976-dae4a031c5d6
Content,Relax,CheckIn,Loving Kindness,Sometimes we're up. Sometimes we're down. And sometimes we are neither up nor down...and that's totally okay!,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,304c0edb-a8ce-43ea-b5cf-99294fcf3e4c
Content,Relax,CheckIn,Loving Kindness,Here's a video to help you get through the day!,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,5e05a631-ecb2-4549-8969-11407d06856b
Content,Relax,CheckIn,Loving Kindness,Here's an audio message to help you get through the day!,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,a33887d6-4dfa-48d3-9eba-56e8eda66ab6
Content,Relax,CheckIn,Loving Kindness,"If you ever need additional support to help you cope with any stress or other emotional difficulties, type ""Help"". Chat to you later!",,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,7d84d05a-cb69-448f-aa85-cafbc73c0e8d
Content,Relax,CheckIn,Loving Kindness,Recognise what is happening for you in this moment. What are you thinking? Are your thoughts positive or negative. How do you feel? Do you feel pleasant or unpleasant? How does your body feel? Do you feel tense or relaxed?,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,50599e93-f35d-4197-b71b-3ff94356055c
Content,Relax,CheckIn,Loving Kindness,Sit comfortably and close your eyes. Connect to your heart in a kind and gentle way. You may want to place one hand on your heart or chest. Say the following words silently to yourself:,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,51636c90-8734-463e-b5cb-fdd1b58d1377
Content,Relax,CheckIn,Loving Kindness,Take a moment to reflect on your experience. Notice if you feel any different.,,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,bf103ec1-fdee-429b-a5e3-f760fef2bc80
Content,Relax,CheckIn,Loving Kindness,"May I be peaceful.
May I be safe.
May I be healthy.",,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,b758cb42-cb1e-4e5f-a56a-0fc25b1715d2
Content,Relax,CheckIn,Loving Kindness,"May I be happy.
May there be love in my family.
May I feel loved.",,,,,,,,,,,PLH - Content - Relax - CheckIn - Loving Kindness,55ce21b8-a860-4d90-bd2d-2002f27f8e24,b1a3989a-156f-4d34-8d3c-78965babf5f7
