category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Time,CheckIn,One on one time,Hi! Were you able to spend 5 minutes or more of One-on-One Time with your children today?,Yes,No,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,0d808a24-e009-4342-9e1f-857bb46801ed
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,21caacc7-f9f2-4ad1-b0af-e557147ba94b
Content,Time,CheckIn,One on one time,That's great! How did it go?,Great,Ok,Bad,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,36e32fc3-7ae0-468e-8748-b1f6ee81db8f
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,7241c272-6241-486f-98b2-bc0aecd8ffd1
Content,Time,CheckIn,One on one time,Good for you! One-on-One Time shows your children that they are important to you. It really makes a difference!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,e59acd49-420e-42bd-bba7-5c26f98ff0c1
Content,Time,CheckIn,One on one time,Well done! One-on-One with your children gives you a chance to learn more about your their interests and abilities. You are a star!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,d3480990-470c-480a-9a4d-d23728b7c4de
Content,Time,CheckIn,One on one time,Wonderful! Spending One-on-One Time with your children may make them more willing to help out more often. You are doing great!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,cc1221ff-12ee-4f9c-bcfe-44c402f9f44b
Content,Time,CheckIn,One on one time,Excellent job! One-on-One Time helps build a strong positive relationship between you and your children. Try to do it every day!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,f4dc1e31-1285-41a6-810e-ad1e5e1b9d60
Content,Time,CheckIn,One on one time,Thank you for making the effort to show your children that they are loved and valued. You deserve a gold star!,,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,bf48d7d9-f617-4b6a-9aae-63564f36f0b5
Content,Time,CheckIn,One on one time,Would you like some new activities to do with your children?,Yes,No,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,b5116745-9f41-4854-9af3-8d06dab5533e
Content,Time,CheckIn,One on one time,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,20936e8d-389b-46a0-86ec-48184e4de7cb
Content,Time,CheckIn,One on one time,"That's okay! You can always type ""Help"" at anytime if you need an activity. Chat to you later!",,,,,,,,,,,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,cf8f71c2-0292-492b-81f2-bc06426f0414
Content,Time,CheckIn,One on one time,We understand that spending One-on-One Time can sometimes be difficult. Here are some of the main reasons parents struggle. Which one is the closest to you?,Not enough time,My child did not want to spend time with me,All my child wanted to do is watch T.V. or play with a gadget,My child wanted to do things I felt uncomfortable about,My child wanted to do activities that I could not do,My child chose a competitive activity. I won and then they got angry,My child had a tantrum at the end of One-on-One Time,My child wanted to do too many things at once,All my children wanted One-on-One Time at the same time,Prefer not to say,PLH - Content - Time - CheckIn - One on one time,7eaa7281-c749-40a7-8e02-e42ecf5f676c,f541ec36-8b36-4982-a97d-9ea94762e142
