category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Extra,Development,,Sometimes we feel frustrated with our children because we expect them to behave in ways that they are not yet developmentally ready for.,,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,dec58693-057a-4a25-a1fa-daa1bd485768
Content,Extra,Development,,Learning about child development means we can have realistic expectations and also to spot any problems with their growth and development.,,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,a62c73c4-41cb-4202-9561-02b14de10266
Content,Extra,Development,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,cc22b82c-8c33-4d62-9f45-bbd4d50f4226
Content,Extra,Development,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,4daccdb8-c048-4bf7-9335-8070f83e7eb6
Content,Extra,Development,,Video of Child Development,,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,ec223177-b9a8-4e68-ab75-b94182636e2e
Content,Extra,Development,,All children develop at different rates. But there are some things that we expect children to be able to do at an age. These are called ‘development’ milestones.,,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,d19de236-4939-420f-8b23-cf2fe9b015bc
Content,Extra,Development,,"That's okay! You can always type ""Help"" if you want to learn more about child development. ",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,049d29d1-e043-4689-a58a-824efa6a77c7
Content,Extra,Development,,"If you are concerned that your child might be delayed in their development, here is a link to services in your area that may also be helpful: [INSERT LOCAL LINK]

You can also visit UNICEF's website for more helpful information about child development [INSERT LOCAL UNICEF LINK]
Chat to you later!",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,8a0c0afb-b4e2-4369-922b-fd935c02c32e
Content,Extra,Development,,"Many things affect our children's development. For example, development is helped by eating healthy food, having immunisations, and parents or caregivers who talk to them a lot. ",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,827b0697-e8a9-46c4-843f-d5f32c032b98
Content,Extra,Development,,Which child development milestones do you want to learn about?,Babies (0-2 years),Young children (2-9 years),Teens (10-17 years),,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,dcfb6c3c-0d8a-44e0-8153-d0307bac2b0a
Content,Extra,Development,,Sorry I don't understand what you mean. ,,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,fa323a42-3958-40a8-bb5b-16a25e0127e5
Content,Extra,Development,,Video of Child Development - Children (2 - 9 years),,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,e23d7f70-d7f1-45fa-b8eb-c5d37bfa7d5d
Content,Extra,Development,,Video of Child Development - Babies & toddlers (0 - 2 years),,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,ff838e0e-7e3d-49b2-ac26-2e21a1f14ff5
Content,Extra,Development,,Video of Child Development - Teenagers (10 - 17 years),,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,a0c09ed9-b331-4a68-aa8b-17ca0cb16a8f
Content,Extra,Development,,"Infant (0–1 year) needs:
• Us to provide food, sleep, cleaning, comfort and safety.
• A strong bond with parent/ caregiver.
• Lots of play and attention - the most active time of brain development is during the first 1000 days of life!",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,14e960d1-4e64-4725-bb54-464b5ddd87d7
Content,Extra,Development,,"Young children (4-6 years):
• Same as toddlers, but also...
• Learn through actions and play.
• Develop friendships with other children
• Find it difficult to separate make-believe from reality. Still express feelings in dramatic ways!",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,78c4ad35-7dd1-4a59-ab14-1b781a79061f
Content,Extra,Development,,"Young teenagers (10-12 years)
• More interested in learning in school.
• Start to want independence and trust.
• Want to spend time with other children and young teenagers.
• May be interested in religion or spirituality",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,b9758dc7-f86c-4294-8fc4-c921fb27eb65
Content,Extra,Development,,"Young teenagers (10-12 years)
• May answer back to adults to show that they “know”.
• Can be very self-conscious and sensitive
• Can learn to better manage anger and tolerate frustration.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,a3724af3-1319-4789-97b9-765be13d7121
Content,Extra,Development,,"Infants (0-1):
• 0–6 months: Smile, babble and cry to attract your attention. We should provide care, cuddling and protection.
• 6–11 months: Cling to you, especially when feeling insecure or frightened. 
• 12–23 months: Start to walk, talk and explore things around them!",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,435db7cc-9229-4618-a2f8-cf21d9d6a544
Content,Extra,Development,,"Middle teenagers (13-14 years)
• Begin to challenge adult rules
• Are often insecure and confused.
• Feelings get hurt easily and have mood swings
• Try to be the boss and are unhappy if they lose.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,2b8dff3a-70e2-41bd-b2d6-68c62380a31c
Content,Extra,Development,,"Toddlers (2-3 years):
• Become a curious little explorer - watch out for climbing! 
• Learn through play and trying things out
• Want to learn how to do new things (like getting dressed) and make their own decisions.
• Want your praise and your approval",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,71d32d83-de56-415f-9873-335c2ff62363
Content,Extra,Development,,"Middle teenagers (13-14 years)
• Their friends are important and affect their choices
• Need some freedom but also reliable rules that don't change
• Need affection, reassurance, self-esteem, encouragement to believe in their abilities",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,4deb749e-de0b-4d10-b04f-4644b84006e8
Content,Extra,Development,,"Toddlers (2-3 years):
• Start speaking in sentences and  learning new words.
• Does not like to lose or take turns, but sharing can be taught.
• May express feelings in dramatic ways (like screaming on the floor!). Can start to learn how to manage their feelings.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,9e535a12-93cb-4307-b758-827bc0d43d3b
Content,Extra,Development,,"Young children (4-6 years):
• May talk a lot; ask many questions. We should be honest when we reply! Our child may ask again if they don't understand or want to know more
• Does not like to lose, share or take turns, but losing and taking turns can be taught.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,67d62665-9c59-4b0f-ad63-109e98a51181
Content,Extra,Development,,"Older teenagers (15–19 years)
• The teen years are the second most active time of brain development!
• Your child is almost an adult, they are able to communicate with you about
almost anything.
• They can think about new ideas, develop their own ideals and set their
own course.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,24ac60e0-e968-418b-9845-d02b4b4428d3
Content,Extra,Development,,"Older children (7-9 years)
• Same early childhood, but also…
• Interested in learning at school.
• Starts to want independence and trust.
• Wants to spend time with other children.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,11611d67-4ef7-4505-a41c-552ccaa2fb83
Content,Extra,Development,,"Older teenagers (15–19 years)
• They are forming their own identity and have a growing sense of their
sexuality
• They may prefer being with peers more than with you
• They may show risk-taking behaviours, frequent mood swings, and rebellious
attitudes. They can also have exciting new ideas!",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,7af2f23a-77cb-4929-bc6d-c0f0ea8ac3ae
Content,Extra,Development,,"Older children (7-9 years)
• May start to ask questions about religion
• May answer back to adults to show that they “know”.
• Can be very self-conscious and sensitive. May be very active. By now they should be getting better at managing anger and frustration.",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,1d971ef0-f453-464a-97ae-214da35ca85e
Content,Extra,Development,,"The most important things that you can do for your teen in this stage are:
• Continue providing love, support and guidance and build a strong
parent-child connection
• Monitor who their friends are, have clear rules to keep them safe
• Nurture their independence",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,bdf64d68-ad06-49ba-aecc-ed696a1ee4dc
Content,Extra,Development,,"• Be patient and accepting of the person they are becoming - even if it is not what you had imagined
• Encourage them to begin to take responsibility for the future
• Keep supporting them and loving them so that they feel comfortable, secure, and safe",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,9a3aeae0-db8a-46b3-b25f-24366794974e
Content,Extra,Development,,Well done for adding another tool to your Parenting Toolkit! Knowing about child development can help you feel less frustrated by them.,,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,bfdbaf6b-1eee-48f5-811b-6877cccfd01f
Content,Extra,Development,,"If you are concerned that your child might be delayed in their development, here is a link to services in your area that may also be helpful: [INSERT LOCAL LINK]

You can also visit UNICEF's website for more helpful information about child development [INSERT LOCAL UNICEF LINK]",,,,,,,,,,,PLH - Content - Extra - Development,c717861d-d2ee-4cb1-994e-04a10fe427ff,a8ce415f-1c7e-457a-b339-ed79cd7ff1c4
