category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Consequences,Have you been able to use consequences for not following instructions or forgetting household rules with your child or teen? How has it been?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,7f1796a7-8f3a-4275-a12f-43de012f92b9
Content,Positive,CheckIn,Consequences,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,d0fc9c86-efcf-4dff-9672-6d315c166134
Content,Positive,CheckIn,Consequences,"Wonderful! When you are able to stay calm, give your child a choice to follow an instruction, and follow through with fair a consequence, you teach your child responsibilities for their actions. Keep it up!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,6f750c90-c6dd-4a6d-960d-86c359e1358e
Content,Positive,CheckIn,Consequences,Sorry you did not manage well. This can be really difficult so be patient with yourself.,,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,0b3777f3-c07f-4cff-8c79-8f9a802d4639
Content,Positive,CheckIn,Consequences,What was difficult about using consequences?,I got very angry with my child or teen and yelled at them,I forgot to give my child or teen a choice to comply before giving the consequence,My child or teen got very angry with me after I gave the consequence,My child or teen complained that the consequence was not fair,I forgot to follow through with the consequence,I am giving too many consequences all the time,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,8291b147-820e-42a8-beb0-a384f495fe40
Content,Positive,CheckIn,Consequences,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,12b2d174-5510-4137-a5de-9e2eb39c3977
Content,Positive,CheckIn,Consequences,"We all make mistakes! The more consistent we are with our consequences, the more likely our children will choose to behave positively in the future.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,9104380c-e900-4c9d-bafa-c1c88aa99cee
Content,Positive,CheckIn,Consequences,"This is hard to remember! When you give your child a choice, you teach your child decision making skills. It does not always work, but when it does, it helps avoid having to give a consequence and a difficult situation later!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,bc55e33d-54f5-4c9f-babc-c7c6ff26fdda
Content,Positive,CheckIn,Consequences,"Check to make sure your consequence is fair and reasonable. For example, if your child refuses to help put away their toys, try prohibiting playing with them for an evening instead of threatening to throw them away.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,a7753c7b-c5cb-4143-bafa-520253e748df
Content,Positive,CheckIn,Consequences,"When we take a pause before responding, it helps us to calm down and respond better. Next time your child or teen makes you angry, try to take a pause first. Even a few deep breaths can make a big difference!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,aa6fc8f0-e66a-4041-a8a0-522993c23e90
Content,Positive,CheckIn,Consequences,"Sometimes our children will react in a negative way when receiving a consequence. If your child is younger than 9 and throws a tantrum, you should ignore your child's behaviour until it is over.  If your child is older, you might need to walk away until they calm down. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,fb947ce2-b58a-41d4-9ad4-d052c5ef776f
Content,Positive,CheckIn,Consequences,"If you find yourself always having to give consequences to your children for behaving badly, you might need to spend more positive time with them. It will help them feel more loved and secure...and you less stressed! ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Consequences,419847cf-5b6a-4470-ad4d-54b327d93622,8d7f2888-8d32-4ce0-8f06-c6a2ebaf576a
