category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Ignore,Have you been able to ignore your child's tantrums or other negative demanding behaviours? How has it been?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,1c67e326-2108-42a1-bda1-6fb7fd0631bc
Content,Positive,CheckIn,Ignore,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,dafe6042-0420-4e3e-a154-9259ba00b1d9
Content,Positive,CheckIn,Ignore,Well done! Ignoring negative attention seeking and demanding behaviours is not easy. Good for you for giving it a try and being consistent!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,e56efc63-e69f-4f98-ae29-55fa784eecf3
Content,Positive,CheckIn,Ignore,Sorry you did not manage well. Ignoring our children's whining or tantrums is really hard. Please be patient with yourself.,,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,823a8cfc-f1a9-4da8-a28e-67f3ae676227
Content,Positive,CheckIn,Ignore,What was difficult about using ignore?,It was hard to stay calm while ignoring my child's tantrum,I struggled to be consistent and gave into their demands,I am concerned about my child or someone else getting hurt,I am having to ignore my child's behaviour all the time,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,c8741fe7-583a-46ba-b04a-71d0e5f94352
Content,Positive,CheckIn,Ignore,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,9fdde21d-c48a-4031-8b8a-e99cf5fe001b
Content,Positive,CheckIn,Ignore,"I know, it can be really difficult to stay calm when our children are whining or having a tantrum. Try to think of something that you can do to help like taking a pause. You can do this!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,6a5b7a3c-a9f3-47f5-b928-bf413295652b
Content,Positive,CheckIn,Ignore,"If you are finding that you are ignoring your child's behaviour a lot, then your child is probably not getting enough positive attention at other times. Try to spend more One-on-One Time with your child!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,af848369-28e6-48ea-a58f-9cb5f12713fc
Content,Positive,CheckIn,Ignore,"Sometimes, our children can have very violent tantrums when they do not get their way, especially if they are used to it. Try to move your child to a place where they will not hurt themselves or others. You may need to firmly hold your child while ignoring their behaviour - but only do this if you can remain calm and  make sure you are not hurting them! Eventually, your child will calm down.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,2ac25060-cc8a-473c-84f5-884bf947b00a
Content,Positive,CheckIn,Ignore,"I know, it is hard to be consistent! If you ignore a behaviour only some of the time, your child will think it might help them get their way. The more consistent you are, the less they will do it.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Ignore,33d20251-941d-499f-b2d2-7fd1a013dd62,c428156f-5e40-474d-919a-527052c7c27f
