category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Instructions,How are you doing with giving your child or teen instructions?,Great,Neutral,Bad,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,f443d7de-efd9-4e6a-ba14-7eadd652d459
Content,Positive,CheckIn,Instructions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,07dab7b3-9d32-4abf-8d54-f8d9e97318c5
Content,Positive,CheckIn,Instructions,"Great to hear it went well, you are a star!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,95b5f65a-a274-4dac-a47b-903c44d3bc6f
Content,Positive,CheckIn,Instructions,Sorry to hear it was difficult for you. Well done for trying!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,b364bb45-e40e-47ca-b61e-5c0cc2cb12c1
Content,Positive,CheckIn,Instructions,What was your main challenge?,My child or teen did not want to follow the instruction,I gave a negative instead of a positive instruction,I gave too many instructions at once,My child or teen could not do what I asked them,I forgot to praise my child or teen for following my instruction,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,e361b4ed-5bf9-4d4e-a012-905021d9a5c7
Content,Positive,CheckIn,Instructions,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,2415c314-efa2-4612-9b4d-e1a4073aca90
Content,Positive,CheckIn,Instructions,"I know, our children need time to learn to follow instructions. Be patient, try again, and remember to praise them every time they follow an instruction!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,fa1cdbab-466b-448e-9615-2fe212694ff9
Content,Positive,CheckIn,Instructions,"I know, it takes some time to get used to giving positive instructions – it’s really worth trying again! Think about behaviour you would love to see your teen do more, and think of positive ways to give that instruction!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,7c19250b-9b2c-4826-b880-b33957fa6321
Content,Positive,CheckIn,Instructions,"I know, it is hard to remember to give one instruction at a time. When we do it, our child is more likely to listen – so we can praise them even more!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,f58a8f19-e50d-49b5-ae55-f9867c3f6877
Content,Positive,CheckIn,Instructions,"Sometimes we just expect our children to do what we want them. But when we praise them for it, they feel encouraged to listen again next time!",,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,d4aa202c-3021-4221-b40c-d407f7e196eb
Content,Positive,CheckIn,Instructions,It is hard to remember to give realistic instructions. Try to make sure that your child or teen can physically do what you want them to do. Be specific!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Instructions,df91f01d-fb5e-43c2-a374-81ca2966f154,f62fe2d4-feb7-4375-bca7-4b0cc7d86933
