category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Content,Positive,CheckIn,Rules,Did you manage to establish ONE rule or daily routine together with your child or teen?,Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,6f55ee2f-9e98-4683-93df-8d3d7c743a8d
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,89280fa0-8bf1-4946-a330-2c580dd875cc
Content,Positive,CheckIn,Rules,"Great to hear it this! Remember, the more we involve our children in setting rules, the more our children will be likely to follow them!

Did you have any challenges when trying to establish a rule or routine together?",Yes,No,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,52a169da-1566-4cd6-8d6f-8609e8897fd5
Content,Positive,CheckIn,Rules,Sorry you did not manage to do this yet. Sit down with your child or teen and try again today - involving your children will make them want to follow the rule more often! ,,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,a70a1162-b001-4c1b-a745-c9273cd83daf
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,074ec74d-2944-4a67-806b-95f452f33726
Content,Positive,CheckIn,Rules,What was difficult for you about establishing a rule or routine with your child or teen?,My child or teen could not agree on one specific rule or routine,My children felt it was unfair that they have to follow the rule while I don’t have to follow it,I felt uncomfortable because I feel I should be the one establishing the rule not my child or teen,"My partner felt uncomfortable, because they feel they should be the one establishing the rule, not the child or teen",,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,d971fec8-1d1b-4ae1-8a5c-8d804a250e25
Content,Positive,CheckIn,Rules,Amazing! Consistent rules and routines help make your child or teen feel secure. They also keep them safe!,,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,078fb49b-f21d-40f6-a35e-af81d6f3ca55
Content,Positive,CheckIn,Rules,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,717630b1-4691-4718-8975-4ef82eb3b10f
Content,Positive,CheckIn,Rules,"It is always important when establishing rules and routines  as a family to consider the age of each child, so you can come up with age-appropriate routines. This is most important for bedtime, time to come home/play, household chores. ",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,d19d3705-9218-40cd-bf75-922c1f73ed3a
Content,Positive,CheckIn,Rules,"We should always remember that children learn best from us. The more we follow the rules, they more they will follow the rules too. You can adjust the rule to make sure that it is realistic for everyone to follow it, considering their responsibilities (for example school or work activities).",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,d54c0f28-d1e5-427f-b87b-9640c07e980d
Content,Positive,CheckIn,Rules,"When we establish rules together with our children or teens, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,1fefb9f0-f750-4cec-b5de-28656ddaf789
Content,Positive,CheckIn,Rules,"When we establish rules together with our children, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,PLH - Content - Positive - CheckIn - Rules,6936ae4e-1949-4f29-aa7f-2edef7467339,f479ad93-beb3-42cc-8f3b-6ba1efd93f31
