category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Help,Entry,,,What do you need help with?,Help with children,Stress relief,Other support,Review previous skills,Technical support,,,,,,PLH - Help - Entry,c5aacd7b-340b-4825-92f3-271b8336be00,a3bf125e-8eb4-4895-8976-b9ea4c8d3247
Help,Entry,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Entry,c5aacd7b-340b-4825-92f3-271b8336be00,dca58db9-fd77-4ec2-90b8-60691269886e
Help,Children,,,How can we help you with your children?,Things to do with my child,Managing challenging behaviour,Supporting your child emotionally,Keeping your child safe,Helping with schoolwork,Talking about COVID-19,How to respond to a crisis,Supporting children with disabilities,Information about child development,Go back to the previous options,PLH - Help - Children,a9e90700-412c-45dd-a38b-ccd5db14bace,ff0e2129-9c4f-4671-9900-db3ab00262d0
Help,Children,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Children,a9e90700-412c-45dd-a38b-ccd5db14bace,c55e35a3-7a98-4f7b-a0bc-64510c826b6c
Help,Children,,,How can we help you keep your children safe?,Online safety,Sexual abuse prevention,Responding to crisis,Go back to the previous options,,,,,,,PLH - Help - Children,a9e90700-412c-45dd-a38b-ccd5db14bace,df1ffefe-4d23-44d6-88e9-e23683104ce0
Help,Children,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Children,a9e90700-412c-45dd-a38b-ccd5db14bace,39e0391e-a2ac-4a7b-98e8-17208177da26
Help,Stress,,,How can we help you?,Relaxation and stress reduction,Dealing with financial stress,Family relationships,Go back to the previous options,,,,,,,PLH - Help - Stress,eb24bed1-62b3-447f-8058-b9665d1742c7,41ccf03f-d313-4c68-984a-6834b20ea9b9
Help,Stress,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Stress,eb24bed1-62b3-447f-8058-b9665d1742c7,4a7cd01a-649c-4da8-8add-1e6f80dda8a3
Help,Access toolkit,,,"Which parenting topics would you like to revisit?

Type ""back"" if you want to go back to the Help menu.",Skills in toolkit,Incomplete skills,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,76f98073-5619-43b8-a1ce-ad04b11d751d
Help,Access toolkit,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,47df441a-7585-41ff-bd19-b71e4ad2bdfd
Help,Access toolkit,,,You have the following completed skills in your Parenting Toolkit:,,,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,4c1a8b2f-e37f-406b-bbe2-fa6c3d8c6950
Help,Access toolkit,,,You have made progress on the following skills:,,,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,fc5f7c0c-edc2-4dcc-a0c8-dae55dbc339f
Help,Access toolkit,,,You don't have any incomplete skill.,,,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,34679a88-058c-4949-9725-496e4fadb178
Help,Access toolkit,,,You don't have any completed skill in your parenting toolkit yet.,,,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,eaed0c80-0ce9-45f8-b96f-68fc307893bc
Help,Access toolkit,,,"Type the number corresponding to the skill to receive messages about this topic again. 

Type ""back"" if you want to go back to the previous options.",,,,,,,,,,,PLH - Help - Access toolkit,446e0f6c-8e31-4443-95b7-70aebdde599e,ff75d160-a536-4bce-97bc-ebcfa20527b3
