category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Baby (0 to 23 months old).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,af05fd51-b2af-4230-86e5-7212deb42825
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Teenager (10 to 17 years).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,fc47b97d-eddd-49ed-8402-3fac73780f5e
Help,Settings,Change age group for tips,,The age group you are currently receiving parenting tips for is: Young child (2 to 9 years).,,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,172604e4-acbf-44ef-a16c-5f04b918392c
Help,Settings,Change age group for tips,,Would you like to receive parenting tips for another age group? ,Yes,No,,,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,4e951224-629b-42c8-86b6-a0f5bd218442
Help,Settings,Change age group for tips,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,c58c2804-dd25-4d24-9ba5-93606deb9c89
Help,Settings,Change age group for tips,,Which age group would you like to receive parenting tips for? ,Baby (0 to 23 months old),Young child (2 to 9 years),Teenager (10 to 17 years),,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,36dfa1da-f24e-4ac2-9061-a44e0bf66c8a
Help,Settings,Change age group for tips,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Change age group for tips,8dd4ac3c-e2d9-4473-b4d5-891760ee1f37,f7b380c1-7533-47e9-85b1-894c07e6000a
Help,Settings,Language,,"The language you are currently receiving messages in is ""English"".
Would you like to change it?",Yes,No,,,,,,,,,PLH - Help - Settings - Language,6e4cbb86-dfa5-4136-afad-d9a1c6e619b2,b3b89d96-5dc5-48d7-9f50-82964eb5ec6d
Help,Settings,Language,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Help - Settings - Language,6e4cbb86-dfa5-4136-afad-d9a1c6e619b2,197a23bb-6f77-417f-8f42-7dae219fb65c
Help,Settings,Language,,Which language would you like?,English,Malay,Chinese,,,,,,,,PLH - Help - Settings - Language,6e4cbb86-dfa5-4136-afad-d9a1c6e619b2,f2f1b458-9fb3-4097-8af4-be735fa077e8
Help,Settings,Language,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Language,6e4cbb86-dfa5-4136-afad-d9a1c6e619b2,aed915f7-5de1-443c-850b-7129195db09c
Help,Settings,Leave the program,,"Are you sure you want to Exit? If you do not want to receive any more messages, please type ""STOP MESSAGES.""
If you made a mistake, please type ""back"" and choose another option.",,,,,,,,,,,PLH - Help - Settings - Leave the program,943dedb5-c7b3-48f7-b6f1-0c5dcff04740,8e49d080-5b5a-46d0-96f7-479e5c8049cc
Help,Settings,Leave the program,,Sorry I don't understand what you mean.,,,,,,,,,,,PLH - Help - Settings - Leave the program,943dedb5-c7b3-48f7-b6f1-0c5dcff04740,83f80bd2-1214-4e34-8be0-e5ec3559d698
Help,Settings,Leave the program,,"Okay thanks! If you ever want to sign up for parenting messages, type ""MoreTips"". We are here to help!",,,,,,,,,,,PLH - Help - Settings - Leave the program,943dedb5-c7b3-48f7-b6f1-0c5dcff04740,05356429-da8c-442a-bb3b-4698cabd16c1
Help,Settings,Manage information,,Who would you like to change the information about?,Yourself,Your children,Go back to the previous options,,,,,,,,PLH - Help - Settings - Manage information,55968f3c-da90-4046-941e-99ca2b725d41,ba680f94-7668-4d69-871e-daca8afef353
Help,Settings,Manage information,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Help - Settings - Manage information,55968f3c-da90-4046-941e-99ca2b725d41,0b9f2526-ff90-4f40-b588-16c5c0b2349f
Help,Settings,Manage information children,,You didn't tell us the age of your children. ,,,,,,,,,,,PLH - Help - Settings - Manage information children,5df00a78-d96e-42c1-9366-0e37be97c526,80826cd2-667c-40a3-9b0c-ec069fd04d3f
Help,Settings,Manage information children,,You have not selected an age group for receiving parenting tips yet.,,,,,,,,,,,PLH - Help - Settings - Manage information children,5df00a78-d96e-42c1-9366-0e37be97c526,2b9af6fe-d357-47a5-bcb5-56d1dc355e0d
