category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Covid,,,Hi! Would you like to learn more about how to talk to your children about COVID-19?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Covid,8f472fe9-b761-4205-8d7b-021908199a89,3b5c0ec3-268e-481c-9fb5-693c34d4c65e
Supportive,Covid,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Covid,8f472fe9-b761-4205-8d7b-021908199a89,572f4cbe-08da-48e2-9aa4-aeeaf2f1f213
Supportive,Covid,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Covid,8f472fe9-b761-4205-8d7b-021908199a89,048e90eb-4628-4ed0-876c-6f83e227dbb6
Supportive,Development,,,Hi! Would you like to learn more about your children's development?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Development,512bdc98-9a28-4420-bb81-e00a6b7024e1,883edd5b-58bb-48af-ba78-7d8d12fdd65e
Supportive,Development,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Development,512bdc98-9a28-4420-bb81-e00a6b7024e1,df434199-708c-4a11-b09e-e111d17ed0f5
Supportive,Development,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Development,512bdc98-9a28-4420-bb81-e00a6b7024e1,464525e1-d11b-4f06-ac2d-114fba7affde
Supportive,Disabilities,,,Hi! Would you like to learn more about how you could support children with disabilities?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Disabilities,67e7e791-88ab-43e2-ba0e-45e34fa99382,ec4f1012-e219-49ef-bce4-85e3d50e43e1
Supportive,Disabilities,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Disabilities,67e7e791-88ab-43e2-ba0e-45e34fa99382,a24117ec-6195-47a6-b420-54fcc8af0fe0
Supportive,Disabilities,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Disabilities,67e7e791-88ab-43e2-ba0e-45e34fa99382,eb7aad23-5c75-4842-ac7d-e41d76f9251a
Supportive,Family,,,Hi! Would you like to learn more about how to resolve conflicts in the family?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Family,bbd4cd48-b583-44b3-a210-32f1d3d69e0f,21d38ba5-0be2-4a55-8813-8a2fc47b66d7
Supportive,Family,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Family,bbd4cd48-b583-44b3-a210-32f1d3d69e0f,1f6e8c13-6567-43e2-8e44-bf77b0190a71
Supportive,Family,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Family,bbd4cd48-b583-44b3-a210-32f1d3d69e0f,ca28d2cd-4c11-4f42-a374-79bbeb3579c6
Supportive,Help reminder,,,"Hi! If you ever want any support or additional parenting tips, type ""Help"" ",,,,,,,,,,,PLH - Supportive - Help reminder,703e20e5-7305-48e3-8a9f-1e33bcff3946,5fa1db3c-756c-4ab7-a222-c87cb1e4c6e5
Supportive,Share,,,"It can be much more fun doing something with another person than doing it by yourself.  

Here is a link to the messages that you can share with a friend!
*insert link*",,,,,,,,,,,PLH - Supportive - Share,73649a6e-3278-4312-8cd9-f7e2a06869a3,33c2e64d-67f2-453d-805c-f47672554bbd
Supportive,Activities,,,Hi! Would you like some suggestions for fun or educational activities to do with your children?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Activities,3ee059c3-04c4-499f-8514-611d9ddc3985,08ea6c2e-05f6-46b8-9f33-84130abd3de1
Supportive,Activities,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Activities,3ee059c3-04c4-499f-8514-611d9ddc3985,46d6cfd6-95c2-47c1-a903-59de7fad61b5
Supportive,Activities,,,"That's okay! You can always get suggestions for activities to do by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Activities,3ee059c3-04c4-499f-8514-611d9ddc3985,440b7d51-4783-4efd-aa9e-1947642fec2e
Supportive,Activities for babies,,,Hi! Would you like some suggestions for fun activities to help develop your baby's brain?,Give me more information,I am not interested,,,,,,,,,PLH - Supportive - Activities for babies,da37dd57-a892-41c7-b76b-0baff4c06c31,1bbc644b-7cca-4c0b-bba5-971c69ee00e1
Supportive,Activities for babies,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Activities for babies,da37dd57-a892-41c7-b76b-0baff4c06c31,28512922-39a4-4b1f-a8af-e7c5b9db3d5d
Supportive,Activities for babies,,,"That's okay! You can always get suggestions for activities to develop your baby's brain by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Activities for babies,da37dd57-a892-41c7-b76b-0baff4c06c31,e1f0405d-affe-49db-b0a8-22da956cdb17
Supportive,Behave reminder,,,"Hi! Every child has challenging behaviour sometimes. If you would like some tips, type ""Help"".",,,,,,,,,,,PLH - Supportive - Behave reminder,1deaec67-6e82-4f26-bfe9-ff301ab34e43,624a9a85-5225-4f4e-b7de-ecace7a242e8
Supportive,Behave reminder,,,"Remember that One-on-One time, praise for being good, and consistent routines will also help reduce difficult behaviours.",,,,,,,,,,,PLH - Supportive - Behave reminder,1deaec67-6e82-4f26-bfe9-ff301ab34e43,78bac523-e8ed-4322-b19e-6a60075c3e52
Supportive,Children reminder,,,Hi! Could you be spending more time with your children and less time on your phone? Put it down and do something fun together!,,,,,,,,,,,PLH - Supportive - Children reminder,34f8a4fb-f84e-4533-863e-ca66e67a93ad,23b3c7ab-4c05-4714-8cdb-59d0f8c79d8a
Supportive,Children reminder,,,Would you like a suggestion for an activity to do with your children?,Yes,No,,,,,,,,,PLH - Supportive - Children reminder,34f8a4fb-f84e-4533-863e-ca66e67a93ad,23676cb5-07d3-40a7-8635-62f40b4e76f1
Supportive,Children reminder,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Children reminder,34f8a4fb-f84e-4533-863e-ca66e67a93ad,0bdfa916-cd31-4d23-9fb6-e5d89ef210af
Supportive,Children reminder,,,"That's okay! You can always get suggestions for activities to do by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Supportive - Children reminder,34f8a4fb-f84e-4533-863e-ca66e67a93ad,00082815-24cf-4640-9b9d-47bd6f049622
