category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Praise,,,Hi! How is your parenting going today? ,Great,Okay,Bad,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,63c63e99-ae0b-42d8-83b7-24f2fe48dbc9
Supportive,Praise,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,0a7a9ab9-e33c-4c7b-9a8e-f9632abf14dd
Supportive,Praise,,,Thank you for being a superman and being there for your family today! Keep it up!,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,3ed7aaba-6278-4483-b120-74889dfde517
Supportive,Praise,,,Well done for being a man who supports their family. You are a real hero.,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,8f480a9d-95d4-48cb-afdf-396da77a96cb
Supportive,Praise,,,You’re a man who puts a lot of thought into everything you do. We see it and appreciate it.,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,84f16889-0d52-437f-8496-5687a3e3efa5
Supportive,Praise,,,Hooray! Other women around the world are cheering for you right now!,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,c233432f-c56d-4adf-92f0-9193253d60bc
Supportive,Praise,,,Thank you for your dedication! The world needs more women like you.,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,46591511-c8ce-4990-9152-027ec87ed348
Supportive,Praise,,,Thank you for being an inspiration to other women. Keep shining that light of yours! ,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,73e29c94-1e8a-4c86-8861-b9154f3588d0
Supportive,Praise,,,Thank you for your dedication! The world needs more men like you.,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,18fd2ed8-deab-450b-a504-79e41bcad5d5
Supportive,Praise,,,You are such a great example for all men! Keep up the good work.,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,ea822b9d-4e3c-49e8-be6f-78bf229a1b94
Supportive,Praise,,,So good to hear that you are doing well. What a wonderful feeling!,,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,67777c35-cb3f-4fb0-84d5-4d17fcdcc81f
Supportive,Praise,,,"Hooray! Trust that your hard work is bearing sweet fruits, even if you can’t taste them yet!",,,,,,,,,,,PLH - Supportive - Praise,52af89ff-e05e-4d2b-a6b5-7342cb657539,c40d9d95-38cd-4a76-97d0-2b51fcf15373
