category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Survey,Behaviour,,,Can we also ask you a few quick questions about your children's behaviour?,Yes,No,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,33d300c0-e299-41ce-bc24-8465c8f3047b
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,9f2482d2-3808-4e3d-9d87-cceb7553753d
Survey,Behaviour,,,It looks like you are busy right now. Please type “GoBack” to receive the most recent messages again.,,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,52f9e0b6-cff7-45f4-a3f7-36ac4f0ff7a1
Survey,Behaviour,,,"All children misbehave sometimes. So that we can give you the right information, please tell us the name or nickname of the child who you are having the most difficulties with.",,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,e3a1e6a1-78cc-4e50-9baa-5ec91f57f55f
Survey,Behaviour,,,It is okay if this is not a good time. We will try again tomorrow. Chat later!,,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,5bcf6a6f-1663-4b48-9f50-821c9f0251b1
Survey,Behaviour,,,It is okay if this is not a good time. Chat later!,,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,90cbff55-af03-4d3e-a891-7d171f4e3324
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,77b39567-ba23-4341-b09c-e960e59810eb
Survey,Behaviour,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,aa3ce370-da1f-45db-a202-2f838df1ec18
Survey,Behaviour,,,Is @fields.survey_behave_name a boy or girl?,Boy,Girl,Prefer not to say,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,4f1041fc-eb04-4d67-9c6b-6dd0aebf2b26
Survey,Behaviour,,,How old is @fields.survey_behave_name in years? Please reply with a number between 0 and 17.,,,,,,,,,,,PLH - Survey - Behaviour,fac74b9c-d6e5-43a8-a8f0-a082eeb19388,54a209c0-3723-45aa-a011-868a633798ff
