category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Survey,Parenting & Behaviour,,,"Can we ask you a few questions? If you do not want to answer any questions, it is completely okay. Remember, everything you say will be completely private.",Yes,No,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,eb3b02a6-07b5-4b9d-aedf-abf43cea373a
Survey,Parenting & Behaviour,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,b6241c3b-e3af-4bec-9809-56ea9777c915
Survey,Parenting & Behaviour,,,It is okay if this is not a good time. We will try again tomorrow. Chat later!,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,4d8e6160-ae3d-4187-8acd-ada55b17045c
Survey,Parenting & Behaviour,,,It is okay if this is not a good time. Chat later!,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,416e95d4-1b68-4ab5-b74e-6e7f21868afb
Survey,Parenting & Behaviour,,,Thank you!,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,6a07c3ef-b4c6-40d8-90be-188e9be90250
Survey,Parenting & Behaviour,,,It looks like you are busy right now. Please type “GoBack” to receive the most recent messages again.,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,243db9a5-bf9b-4125-9696-09b3c20593e8
Survey,Parenting & Behaviour,,,We would also like to know how you are doing with @fields.survey_behave_name. ,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,ce857676-09a8-4984-9edb-9b5eb586ddc7
Survey,Parenting & Behaviour,,,"Previously you said that @fields.survey_behave_name's most challenging behaviour for you was crying a lot. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?
",,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,a1c25beb-770e-4a04-9f3f-d57dfce7ee3b
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was problems sleeping. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,a82c2c56-b1a8-4366-9808-200da5aa2524
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was whining for things. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,6bbc0a30-4b2f-4045-a0b4-79333adc533b
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was acting clingy. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,8ad98d5e-db5f-4e45-b363-aea15ddcfeac
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was being bad tempered or moody. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,616e507b-caf8-494e-b07f-26a535aaa45d
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was problems eating. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,ce077089-a1e6-4c5f-bb59-e80612cbc72f
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was being stubborn or fussy. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,421a38d1-3e78-494b-b3ef-ba9ad9f97987
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was naughty behaviour. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,927145c1-1bb3-426c-8cd4-9b41ddf89f75
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was temper tantrums. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,e442ccaa-2b38-4ed7-8ed4-6cc97eb5b6cf
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was refusing to obey instructions. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,8c3293f7-ed9c-4b7d-b4ce-96fe68cc2108
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was temper tantrums. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,33d51014-fb72-4437-bb0b-375840052fba
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was whining for things. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,4e597475-913c-41c7-bebf-8c885c324fc9
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was hyperactivity. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,16a199e8-a6ab-489f-81b2-92be17997012
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was being disrespectful. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,60852edd-e4ba-4eca-a7dd-bd7c334e00f7
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was hitting others. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,fbd1985a-2e91-4bd3-a980-8dae3f563a29
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was breaking things. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,b22c5d51-5462-458f-ab64-ec1f95fefd9a
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was getting into fights. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,c7d74407-48f9-42ba-9be9-b33f4d847444
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was teasing or bothering others. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,859c8098-85ce-4ec6-850d-184ec95b267f
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was refusing to obey instructions. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,b3850758-946c-4244-8829-2ab53a30d885
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was getting angry a lot. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,0bb253a4-0a25-4ac5-a92a-5312bfd325e6
Survey,Parenting & Behaviour,,,"Previously you said that @fields.survey_behave_name's most challenging behaviour for you was rudeness, disrespectful behaviour. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?",,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,fb912777-a8cd-4d02-8f6e-4ede0e6cedf6
Survey,Parenting & Behaviour,,,"Previously you said that @fields.survey_behave_name's most challenging behaviour for you was being irritable, having frequent mood changes. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?",,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,0943ff9c-5cef-4882-8d5d-b2d5122cd49b
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was not following rules. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,73d1c049-7a70-4e03-ad26-6abc21cdd6f9
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was stubbornness. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,5661a5cd-9fe6-4d7e-ab9b-7c8a2ad17f34
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was breaking things. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,7727d686-d8eb-44c1-a3f3-d3fb49d9fbc8
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was teasing or bothering others. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,2abb1652-be04-466c-b958-7d3bfa365973
Survey,Parenting & Behaviour,,,Previously you said that @fields.survey_behave_name's most challenging behaviour for you was getting into fights. How would you rate this problem now on a scale of 0 to 7 (0 = not a problem and 7 = terrible)?,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,d013a321-e30c-4327-bb45-b8be1b8f0362
Survey,Parenting & Behaviour,,,"Sorry, I don't understand what you mean. Please answer with a number between 0 and 8.",,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,6ae4775d-ba37-4706-876a-c519a35bf14b
Survey,Parenting & Behaviour,,,Well done! It looks like you able to manage this behavior even though it is difficult. Keep it up!,,,,,,,,,,,PLH - Survey - Parenting & Behaviour,07617295-c87c-422a-bbd3-0104a3a29fd5,af41d2ae-3d83-40a6-aa23-5681015e5b56
