category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Welcome,Entry,,,Hi! Thank you for signing up to receive these parenting tips. Please tell us which language you would like:,,,,,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,07cdf5b2-db4c-4218-aed1-e5511c5f5264
Welcome,Entry,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,aa571832-72c8-4569-a7b7-baed39d5300c
Welcome,Entry,,,"Taking care of children is hard, and nobody is  doing this perfectly. Take a moment now to praise yourself for keeping it up. 

You are a real star!",,,,,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,080ae486-58af-468d-a704-0570ff4dfc39
Welcome,Entry,,,"Your participation and any information you provide will be used anonymously by researchers so that we learn about how to better support families like yours. 

Type ""Yes"" if you agree with this. Type ""Exit"" if you do not want to participate. Click here for more information [insert link]",,,,,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,00344e1d-8372-4dd5-80a6-70607aa3c10c
Welcome,Entry,,,"I am sorry I did not understand. Please type ""Yes"" if you agree with this. Type ""Exit"" if you do not want to participate.",,,,,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,27832dea-6464-48c6-abde-8c759addcd6c
Welcome,Entry,,,Thanks so much! How would you like to receive your messages? You can always change this choice through the settings later:,Text only (almost no data),"Text, audio, image (low data)","Text, audio, image, video (high data)",,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,1212d62e-0453-4774-a250-8512af7d717f
Welcome,Entry,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Welcome - Entry,aa840cac-eaef-4e76-b0b3-a7bbab1ac258,f76ca49d-df23-4470-a22c-a845e7ed2a63
Welcome,Initial registration,,,"So that we can give you the right information, please tell us if you are a male or female.",Male,Female,Other,Prefer not to tell,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,caf41662-1b7f-4311-ad5d-70a51492ac2e
Welcome,Initial registration,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,55f22a92-8cf0-4c25-8c09-38be7a32a6b8
Welcome,Initial registration,,,"Can you please tell us your age? Please reply with the number only. Example: 28
If you don't want to tell us your age, that's okay. Please type ""N""",,,,,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,cd710b58-30ed-45ef-8546-4b735d408452
Welcome,Initial registration,,,This looks too old. ,,,,,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,a42e9c36-8c7e-45ff-84d8-d96614cfeebb
Welcome,Initial registration,,,This looks too young. ,,,,,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,3f8e23fa-6ebb-4c4d-b9f5-c83ba9cdabe9
Welcome,Initial registration,,,Sorry I don't understand what you mean. ,,,,,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,8f1800cf-8826-47d6-b9ac-46564addb62b
Welcome,Initial registration,,,"Please choose one age group for these parenting tips. You might want to choose the child you are concerned about the most.

You can always change this later by typing ""Help"" and selecting ""Technical support"".",Baby (0 to 23 months),Young child (2 to 9 years),Teenager (10 to 17 years),,,,,,,,PLH - Welcome - Initial registration,e9be7e7c-d046-4fb6-a647-ef078db5e529,f042060e-8793-4c68-8ba6-1fab4ef236c3
